mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4	1/4	1	0				
1	0	0	0	1.0	0	1/2	Chord	3/4	2	1	1/4	1/4	1	1				
2	1	1	1	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	2				
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	3				
2	1	1	1	0.0	0	0	FiguredBass	3/4	2	1	0				1/4	6		
2	1	1	1	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	4				
2	1	2	2	0.0	1/4	1/4	FiguredBass	3/4	2	1	0				1/4	5		
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	5				
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	6				
3	2	4	4	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	7				
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	8				
3	2	4	4	0.0	0	0	FiguredBass	3/4	2	1	0				1/2	5		
3	2	4	4	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	9				
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	10				
4	3	7	7	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	11				
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	12				
4	3	7	7	0.0	0	0	FiguredBass	3/4	2	1	0				1/2	6		
4	3	7	7	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	13				
4	3	9	9	0.0	1/2	1/2	FiguredBass	3/4	2	1	0				1/4	6	h	
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	14				
5	4	10	10	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	15				
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	16				
5	4	10	10	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	17				
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	18				
6	5	13	13	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	19				
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	20				
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	21				
